time,N1,N2,P
186.5,0.073839660607066,0.685653997021343,0.278876591642768
187,0.0738396603714426,0.685653998178467,0.278876590852752
187.5,0.0738396601631887,0.685653999273892,0.278876590099284
188,0.0738396599807224,0.685654000308957,0.27887658938194
188.5,0.0738396598225044,0.685654001285106,0.278876588700207
189,0.07383965968704,0.685654002203866,0.278876588053485
189.5,0.0738396595728802,0.685654003066841,0.278876587441103
190,0.0738396594786233,0.685654003875696,0.278876586862325
190.5,0.0738396594029158,0.685654004632147,0.278876586316357
191,0.0738396593444531,0.685654005337951,0.278876585802357
191.5,0.0738396593019798,0.685654005994897,0.278876585319438
192,0.0738396592742905,0.685654006604794,0.278876584866682
192.5,0.0738396592602292,0.685654007169466,0.278876584443137
193,0.0738396592586897,0.685654007690743,0.278876584047832
193.5,0.0738396592686152,0.685654008170453,0.278876583679775
194,0.0738396592889976,0.685654008610418,0.278876583337964
194.5,0.0738396593188773,0.685654009012446,0.278876583021386
195,0.0738396593573424,0.685654009378326,0.278876582729026
195.5,0.0738396594035276,0.685654009709825,0.278876582459869
196,0.073839659456614,0.685654010008681,0.278876582212903
196.5,0.0738396595158272,0.685654010276602,0.278876581987122
197,0.073839659580437,0.685654010515259,0.278876581781533
197.5,0.0738396596497558,0.685654010726288,0.278876581595153
198,0.0738396597231377,0.685654010911281,0.278876581427014
198.5,0.0738396597999772,0.68565401107179,0.278876581276167
199,0.0738396598797077,0.685654011209322,0.278876581141682
199.5,0.0738396599618006,0.685654011325338,0.278876581022646
200,0.0738396600457637,0.68565401142125,0.278876580918175
200.5,0.0738396601311398,0.685654011498423,0.278876580827402
201,0.0738396602175055,0.685654011558173,0.278876580749488
201.5,0.0738396603044698,0.685654011601765,0.27887658068362
202,0.073839660391673,0.685654011630416,0.278876580629009
202.5,0.0738396604787846,0.685654011645291,0.278876580584895
203,0.0738396605655029,0.685654011647505,0.278876580550544
203.5,0.073839660651553,0.685654011638127,0.278876580525249
204,0.0738396607366856,0.685654011618171,0.278876580508333
204.5,0.073839660820676,0.685654011588607,0.278876580499144
205,0.0738396609033225,0.685654011550354,0.278876580497059
205.5,0.0738396609844453,0.685654011504287,0.278876580501484
206,0.0738396610638855,0.685654011451231,0.27887658051185
206.5,0.0738396611415033,0.685654011391968,0.278876580527617
207,0.0738396612171774,0.685654011327236,0.278876580548269
207.5,0.0738396612908038,0.685654011257729,0.27887658057332
208,0.0738396613622945,0.685654011184098,0.278876580602307
208.5,0.0738396614315765,0.685654011106955,0.278876580634792
209,0.0738396614985909,0.685654011026873,0.278876580670364
209.5,0.073839661563292,0.685654010944386,0.278876580708635
210,0.073839661625646,0.68565401085999,0.278876580749239
210.5,0.0738396616856303,0.685654010774148,0.278876580791834
211,0.0738396617432329,0.685654010687288,0.2788765808361
211.5,0.073839661798451,0.685654010599804,0.278876580881737
212,0.0738396618512906,0.685654010512062,0.278876580928468
212.5,0.0738396619017656,0.685654010424393,0.278876580976033
213,0.0738396619498974,0.685654010337104,0.278876581024191
213.5,0.0738396619957136,0.685654010250474,0.278876581072723
214,0.0738396620392478,0.685654010164753,0.278876581121424
214.5,0.0738396620805388,0.68565401008017,0.278876581170105
215,0.0738396621196302,0.685654009996928,0.278876581218596
215.5,0.0738396621565697,0.68565400991521,0.278876581266741
216,0.0738396621914085,0.685654009835178,0.278876581314397
216.5,0.0738396622242009,0.685654009756971,0.278876581361438
217,0.0738396622550042,0.685654009680714,0.278876581407747
217.5,0.0738396622838774,0.685654009606513,0.278876581453222
218,0.0738396623108818,0.685654009534456,0.278876581497773
218.5,0.0738396623360798,0.685654009464617,0.278876581541319
219,0.0738396623595353,0.685654009397058,0.278876581583791
219.5,0.0738396623813125,0.685654009331824,0.278876581625129
220,0.0738396624014766,0.68565400926895,0.278876581665282
220.5,0.0738396624200927,0.68565400920846,0.278876581704209
221,0.0738396624372259,0.685654009150365,0.278876581741874
221.5,0.0738396624529412,0.685654009094671,0.278876581778251
222,0.0738396624673029,0.68565400904137,0.27887658181332
222.5,0.073839662480375,0.685654008990449,0.278876581847067
223,0.0738396624922203,0.685654008941888,0.278876581879485
223.5,0.0738396625029007,0.685654008895659,0.27887658191057
224,0.0738396625124773,0.685654008851727,0.278876581940326
224.5,0.0738396625210095,0.685654008810055,0.27887658196876
225,0.0738396625285557,0.685654008770599,0.278876581995882
225.5,0.0738396625351727,0.685654008733312,0.278876582021707
226,0.0738396625409157,0.68565400869814,0.278876582046255
226.5,0.0738396625458386,0.685654008665031,0.278876582069545
227,0.0738396625499934,0.685654008633927,0.278876582091602
227.5,0.0738396625534306,0.685654008604768,0.278876582112451
228,0.0738396625561986,0.685654008577494,0.278876582132123
228.5,0.0738396625583446,0.68565400855204,0.278876582150645
229,0.0738396625599137,0.685654008528343,0.27887658216805
229.5,0.0738396625609492,0.685654008506339,0.278876582184372
230,0.0738396625614927,0.685654008485961,0.278876582199643
230.5,0.073839662561584,0.685654008467145,0.278876582213898
231,0.0738396625612611,0.685654008449824,0.278876582227174
231.5,0.0738396625605605,0.685654008433934,0.278876582239506
232,0.0738396625595165,0.685654008419409,0.27887658225093
232.5,0.073839662558162,0.685654008406186,0.278876582261483
233,0.0738396625565282,0.685654008394201,0.278876582271201
233.5,0.0738396625546446,0.68565400838339,0.27887658228012
234,0.0738396625525391,0.685654008373695,0.278876582288277
234.5,0.073839662550238,0.685654008365053,0.278876582295707
235,0.073839662547766,0.685654008357406,0.278876582302445
235.5,0.0738396625451465,0.685654008350698,0.278876582308527
236,0.0738396625424013,0.685654008344872,0.278876582313986
236.5,0.0738396625395508,0.685654008339874,0.278876582318855
237,0.073839662536614,0.685654008335652,0.278876582323168
237.5,0.0738396625336088,0.685654008332155,0.278876582326956
238,0.0738396625305515,0.685654008329334,0.27887658233025
238.5,0.0738396625274576,0.685654008327142,0.278876582333081
239,0.0738396625243411,0.685654008325532,0.278876582335477
239.5,0.073839662521215,0.685654008324462,0.278876582337468
240,0.0738396625180912,0.685654008323888,0.27887658233908
240.5,0.0738396625149806,0.685654008323773,0.27887658234034
241,0.0738396625118933,0.685654008324075,0.278876582341273
241.5,0.0738396625088381,0.68565400832476,0.278876582341904
242,0.0738396625058232,0.685654008325793,0.278876582342255
242.5,0.0738396625028559,0.685654008327139,0.278876582342351
243,0.0738396624999427,0.685654008328769,0.278876582342211
243.5,0.0738396624970894,0.685654008330651,0.278876582341856
244,0.073839662494301,0.685654008332758,0.278876582341306
244.5,0.073839662491582,0.685654008335063,0.27887658234058
245,0.0738396624889361,0.685654008337542,0.278876582339694
245.5,0.0738396624863665,0.68565400834017,0.278876582338666
246,0.073839662483876,0.685654008342926,0.278876582337512
246.5,0.0738396624814665,0.685654008345789,0.278876582336245
247,0.0738396624791399,0.68565400834874,0.278876582334881
247.5,0.0738396624768973,0.68565400835176,0.278876582333431
248,0.0738396624747397,0.685654008354834,0.27887658233191
248.5,0.0738396624726674,0.685654008357946,0.278876582330327
249,0.0738396624706805,0.685654008361081,0.278876582328695
249.5,0.073839662468779,0.685654008364226,0.278876582327023
250,0.0738396624669623,0.68565400836737,0.278876582325319
250.5,0.0738396624652297,0.685654008370501,0.278876582323594
251,0.0738396624635803,0.685654008373609,0.278876582321855
251.5,0.0738396624620127,0.685654008376685,0.27887658232011
252,0.0738396624605257,0.685654008379721,0.278876582318364
252.5,0.0738396624591176,0.68565400838271,0.278876582316625
253,0.0738396624577869,0.685654008385645,0.278876582314897
253.5,0.0738396624565317,0.685654008388519,0.278876582313187
254,0.07383966245535,0.685654008391329,0.278876582311499
254.5,0.0738396624542397,0.685654008394069,0.278876582309836
255,0.0738396624531989,0.685654008396735,0.278876582308203
255.5,0.0738396624522252,0.685654008399325,0.278876582306603
256,0.0738396624513165,0.685654008401836,0.278876582305039
256.5,0.0738396624504704,0.685654008404265,0.278876582303513
257,0.0738396624496847,0.685654008406611,0.278876582302027
257.5,0.0738396624489571,0.685654008408872,0.278876582300584
258,0.0738396624482851,0.685654008411048,0.278876582299185
258.5,0.0738396624476665,0.685654008413138,0.27887658229783
259,0.0738396624470989,0.685654008415141,0.278876582296522
259.5,0.0738396624465801,0.68565400841706,0.278876582295261
260,0.0738396624461076,0.685654008418892,0.278876582294047
260.5,0.0738396624456794,0.68565400842064,0.278876582292881
261,0.073839662445293,0.685654008422305,0.278876582291763
261.5,0.0738396624449465,0.685654008423886,0.278876582290692
262,0.0738396624446375,0.685654008425387,0.278876582289668
262.5,0.0738396624443641,0.685654008426808,0.278876582288692
263,0.0738396624441242,0.685654008428152,0.278876582287762
263.5,0.0738396624439157,0.685654008429419,0.278876582286879
264,0.0738396624437368,0.685654008430612,0.27887658228604
264.5,0.0738396624435856,0.685654008431733,0.278876582285245
265,0.0738396624434603,0.685654008432784,0.278876582284494
265.5,0.0738396624433591,0.685654008433768,0.278876582283786
